index,alpha,n,k,E0
1,0.48238884605109955,0.948571204604809,3.626266642818989,0.33900408000000004
2,0.5054555322571233,0.9914817295012018,3.730824990849071,0.338474435
3,0.4894673008373056,0.9354928883917282,3.3979678444258488,0.33848026000000003
4,0.5013808218668961,0.9675610314509643,3.367207456596961,0.3372353
5,0.5047302441873304,0.9623541163218904,3.264239391234429,0.33598672
6,0.5138105756141462,0.8935256638912732,3.39366122085224,0.335197795
7,0.5012649643452771,0.9157058696784425,3.273472513897456,0.333490525
9,0.5367570695525091,0.9032596518179257,3.3034471924051196,0.332973065
12,0.5172093689169761,0.897208681060515,3.309788532374108,0.331728645
15,0.5500363522315181,0.8937566266038064,3.267665730211387,0.329990145
18,0.5519577172148591,0.8553433909086215,3.2737666441220323,0.32972349
21,0.5784242998355101,0.8413737750634817,3.253693350463137,0.328486525
24,0.591691234041919,0.869504884757388,3.28344680460352,0.32798016
27,0.596348245432058,0.7924469953657954,3.0752318980287265,0.327468525
30,0.629643091477479,0.78062258134364,2.921815149355169,0.326490805
33,0.6232223291242953,0.8284645519290601,3.1536180854656797,0.32521883
36,0.6122396335358289,0.803970943635769,3.196173105209614,0.325472295
39,0.6196911043013854,0.7590993141662512,2.834925793611496,0.32422422
42,0.6350076185933292,0.7742762712777713,2.76006865153065,0.32523582
45,0.6220431380838329,0.7689604841995327,2.980372469707417,0.324483485
48,0.6111093954338892,0.7950294978376901,2.830667058733894,0.324940475
51,0.6116841644153923,0.7899796789040536,2.752717858550799,0.323965465
54,0.5971446010164384,0.7293775111213445,2.5473699897085624,0.323446395
57,0.6155273203001115,0.7545905062428514,2.5004737168930564,0.32319936000000005
60,0.6233035444826379,0.8052369755888035,2.8134360376283807,0.32372586000000003
